รายการสถิติทางการ,ปี ,อำเภอ,ประเภท,ค่าข้อมูล,หน่วย
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอสารภี,บุคคลธรรมดา,157.41,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอเวียงแหง,บุคคลธรรมดา,3.174,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอไชยปราการ,บุคคลธรรมดา,7.199,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอแม่วาง,บุคคลธรรมดา,0,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอแม่ออน,บุคคลธรรมดา,0,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอดอยหล่อ,บุคคลธรรมดา,5.289,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอกัลยาณิวัฒนา,บุคคลธรรมดา,0,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอเมืองเชียงใหม่,นิติบุคคล,"1,360.75",ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอจอมทอง,นิติบุคคล,31.628,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอแม่แจ่ม,นิติบุคคล,3.425,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอเชียงดาว,นิติบุคคล,5.314,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอดอยสะเก็ด,นิติบุคคล,86.585,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอแม่แตง,นิติบุคคล,17.655,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอแม่ริม,นิติบุคคล,70.719,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอสะเมิง,นิติบุคคล,0.818,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอฝาง,นิติบุคคล,19.413,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอแม่อาย,นิติบุคคล,4.896,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอพร้าว,นิติบุคคล,4.675,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอสันป่าตอง,นิติบุคคล,89.865,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอสันกำแพง,นิติบุคคล,114.267,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอสันทราย,นิติบุคคล,259.779,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอหางดง,นิติบุคคล,127.022,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอฮอด,นิติบุคคล,12.606,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอดอยเต่า,นิติบุคคล,0.844,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภออมก๋อย,นิติบุคคล,2.102,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอสารภี,นิติบุคคล,393.018,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอเวียงแหง,นิติบุคคล,0.778,ล้านบาท
