Year,Province,District,Dataset_Group,Dataset_name,Item,Vlue,Unit,Source,หน่วยงานเจ้าของข้อมูล
2566,ปทุมธานี,ลาดหลุมแก้ว,การค้าและราคา,ประเภทภาษี ,บุคคลธรรมดา,262.77,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2566,ปทุมธานี,ลาดหลุมแก้ว,การค้าและราคา,ประเภทภาษี ,นิติบุคคล,389.78,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2566,ปทุมธานี,ลาดหลุมแก้ว,การค้าและราคา,ประเภทภาษี ,การค้า,-,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2566,ปทุมธานี,ลาดหลุมแก้ว,การค้าและราคา,ประเภทภาษี ,มูลค่าเพิ่ม,672.42,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2566,ปทุมธานี,ลาดหลุมแก้ว,การค้าและราคา,ประเภทภาษี ,ธุรกิจเฉพาะ,1.05,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2566,ปทุมธานี,ลาดหลุมแก้ว,การค้าและราคา,ประเภทภาษี ,อากรแสตมป์,6.21,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2566,ปทุมธานี,ลาดหลุมแก้ว,การค้าและราคา,ประเภทภาษี ,อื่น ๆ,0.31,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2566,ปทุมธานี,ลำลูกกา,การค้าและราคา,ประเภทภาษี ,บุคคลธรรมดา,1192.6,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2566,ปทุมธานี,ลำลูกกา,การค้าและราคา,ประเภทภาษี ,นิติบุคคล,2029.51,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2566,ปทุมธานี,ลำลูกกา,การค้าและราคา,ประเภทภาษี ,การค้า,-,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
