YEA_GOV,PROV,TAX_TYPE,FORM_CODE,AMT_RCV
2567,ชุมพร,001,ภงด94,12626731.27
2567,ชุมพร,002,ทป3,26350909.97
2567,ชุมพร,002,ป2,679200.00
2567,ชุมพร,002,ภงด50,108961786.50
2567,ชุมพร,002,ภงด51,97133376.04
2567,ชุมพร,002,ภงด53,108173899.54
2567,ชุมพร,002,ภงด54,1571580.82
2567,ชุมพร,002,ภงด55,130727.47
2567,ชุมพร,005,ทป3,19051784.29
2567,ชุมพร,005,ป2,456300.00
2567,ชุมพร,005,ภพ30,1090448575.41
2567,ชุมพร,005,ภพ36,1518258.93
2567,ชุมพร,006,ทป3,50259.29
2567,ชุมพร,006,ป2,10900.00
2567,ชุมพร,006,ภธ40,20009696.44
2567,ชุมพร,007,ทป3,8316.00
2567,ชุมพร,007,อส10,3654445.20
2567,ชุมพร,007,อส10.1,198339.00
2567,ชุมพร,007,อส4,2966614.50
2567,ชุมพร,007,อส4ก,81336.00
2567,ชุมพร,007,อส4ข,889387.00
2567,ชุมพร,007,อส9,2975516.00
2567,ชุมพร,010,รบ1,2.00
2567,ชุมพร,011,ป2,485900.00
2567,เชียงราย,001,ทป3,67547578.69
2567,เชียงราย,001,ป2,1776300.00
2567,เชียงราย,001,ภงด1,176714564.89
2567,เชียงราย,001,ภงด2,37483633.45
2567,เชียงราย,001,ภงด3,122966245.26
2567,เชียงราย,001,ภงด90,111335780.00
2567,เชียงราย,001,ภงด91,35458949.58
2567,เชียงราย,001,ภงด93,2116015.84
2567,เชียงราย,001,ภงด94,27527268.60
2567,เชียงราย,002,ทป3,9182164.13
2567,เชียงราย,002,ป2,1116100.00
2567,เชียงราย,002,ภงด50,221500378.47
2567,เชียงราย,002,ภงด51,218518044.00
2567,เชียงราย,002,ภงด53,288222205.34
2567,เชียงราย,002,ภงด54,2223836.45
2567,เชียงราย,002,ภงด55,1829350.26
2567,เชียงราย,005,ทป3,17863964.28
2567,เชียงราย,005,ป2,914700.00
2567,เชียงราย,005,ภพ30,1381060514.95
2567,เชียงราย,005,ภพ36,14755472.23
2567,เชียงราย,006,ทป3,533471.77
2567,เชียงราย,006,ป2,40500.00
