YEA_GOV,MON,TAX_TYPE,FORM_CODE,AMT_RCV
2567,05,006,ทป3,23723665.51000000
2567,05,007,ทป3,7141986.44000000
2567,05,001,ป2,17504000.00000000
2567,05,002,ป2,8614000.00000000
2567,05,005,ป2,10503300.00000000
2567,05,006,ป2,702900.00000000
2567,05,011,ป2,14503104.10000000
2567,05,001,ภงด1,20703198966.17000000
2567,05,001,ภงด2,6634582411.74000000
2567,05,001,ภงด3,2051977242.19000000
2567,05,002,ภงด50,44303986957.99000000
2567,05,002,ภงด51,2392358054.69000000
2567,05,002,ภงด52,887507349.42000000
2567,05,002,ภงด53,15878101529.50000000
2567,05,002,ภงด54,12643008054.33000000
2567,05,002,ภงด55,81940665.55000000
2567,05,001,ภงด90,316930526.43000000
2567,05,001,ภงด91,151848188.96000000
2567,05,001,ภงด93,77298415.80000000
2567,05,001,ภงด94,21912906.61000000
2567,05,003,ภงป70,24146678720.81000000
2567,05,003,ภงป71,366603000.00000000
2567,05,006,ภธ40,3390844861.72000000
2567,05,005,ภพ30,46969861325.02000000
2567,05,005,ภพ30.2,295503.97000000
2567,05,005,ภพ309,669778341.47000000
2567,05,005,ภพ36,5222207060.21000000
2567,05,070,ภม60,79250190.70000000
2567,05,009,รบ1,5620.50000000
2567,05,010,รบ1,10.00000000
2567,05,015,รบ1,18485.36000000
2567,05,007,อส10,81841887.29000000
2567,05,007,อส10.1,7744539.00000000
2567,05,007,อส4,252442971.80000000
2567,05,007,อส4ก,13723544.48000000
2567,05,007,อส4ข,242618196.53000000
2567,05,007,อส9,145878156.00000000
2567,06,001,ทป3,3469584054.71000000
2567,06,002,ทป3,575148780.45000000
2567,06,004,ทป3,50000.00000000
2567,06,005,ทป3,322237887.42000000
2567,06,006,ทป3,4908889.78000000
2567,06,007,ทป3,1449061.92000000
2567,06,001,ป2,11985800.00000000
2567,06,002,ป2,16909000.00000000
2567,06,005,ป2,9274000.00000000
2567,06,006,ป2,764800.00000000
2567,06,011,ป2,9610300.00000000
2567,06,001,ภงด1,16896519231.13000000
2567,06,001,ภงด2,14689964805.54000000
2567,06,001,ภงด3,2138664688.71000000
2567,06,002,ภงด50,124156283707.62000000
2567,06,002,ภงด51,4198886909.50000000
2567,06,002,ภงด52,821405171.16000000
2567,06,002,ภงด53,17539283360.79000000
2567,06,002,ภงด54,18991232126.94000000
2567,06,002,ภงด55,35300429.28000000
2567,06,001,ภงด90,283556383.37000000
2567,06,001,ภงด91,89795153.08000000
2567,06,001,ภงด93,40090955.32000000
2567,06,001,ภงด94,26413958.12000000
2567,06,006,ภธ40,3424025136.07000000
2567,06,005,ภพ30,44743181748.72000000
2567,06,005,ภพ30.2,1211.84000000
2567,06,005,ภพ30.3,114680.39000000
2567,06,005,ภพ309,714060129.06000000
2567,06,005,ภพ36,6504181663.41000000
2567,06,070,ภม60,20728065.17000000
2567,06,009,รบ1,2514.00000000
2567,06,010,รบ1,14.50000000
2567,06,015,รบ1,89988.50000000
2567,06,999,รบ1,39.98000000
2567,06,007,อส10,71325996.04000000
2567,06,007,อส10.1,8215880.00000000
2567,06,007,อส4,227087069.74000000
2567,06,007,อส4ก,13545470.92000000
2567,06,007,อส4ข,256576198.49000000
2567,06,007,อส9,144434860.00000000
2567,07,001,ทป3,269842277.38000000
2567,07,002,ทป3,678403095.44000000
2567,07,004,ทป3,50000.00000000
2567,07,005,ทป3,583859418.13000000
2567,07,006,ทป3,7387436.59000000
2567,07,007,ทป3,1979758.93000000
2567,07,070,ทป3,1236265.00000000
2567,07,001,ป2,10159100.00000000
2567,07,002,ป2,15038100.00000000
2567,07,005,ป2,10638100.00000000
2567,07,006,ป2,382300.00000000
2567,07,011,ป2,9333700.00000000
2567,07,001,ภงด1,20229595699.22000000
2567,07,001,ภงด2,4796365758.00000000
2567,07,001,ภงด3,2060577650.98000000
2567,07,002,ภงด50,1579239312.91000000
2567,07,002,ภงด51,739835477.84000000
2567,07,002,ภงด52,10004329.45000000
2567,07,002,ภงด53,15594315427.12000000
2567,07,002,ภงด54,10575984774.63000000
2567,07,002,ภงด55,11938357.32000000
2567,07,001,ภงด90,212684683.36000000
2567,07,001,ภงด91,94314327.34000000
2567,07,001,ภงด93,56751715.10000000
2567,07,001,ภงด94,126681225.64000000
2567,07,006,ภธ40,4180139522.27000000
2567,07,005,ภพ30,43620668438.77000000
2567,07,005,ภพ30.2,957125.46000000
2567,07,005,ภพ309,721035147.18000000
2567,07,005,ภพ36,5148750229.22000000
2567,07,070,ภม60,29423469.92000000
2567,07,009,รบ1,2809.75000000
2567,07,010,รบ1,7.50000000
2567,07,015,รบ1,15955.13000000
2567,07,007,อส10,73015441.96000000
2567,07,007,อส10.1,7837855.00000000
2567,07,007,อส4,369311276.16000000
2567,07,007,อส4ก,12580928.35000000
2567,07,007,อส4ข,253918415.66000000
2567,07,007,อส9,154139610.00000000
2567,08,001,ทป3,185601826.34000000
2567,08,002,ทป3,460229731.32000000
2567,08,004,ทป3,50000.00000000
2567,08,005,ทป3,678587986.63000000
2567,08,006,ทป3,5898045.84000000
2567,08,007,ทป3,4802848.91000000
2567,08,070,ทป3,671787.02000000
2567,08,001,ป2,8759300.00000000
2567,08,002,ป2,14366700.00000000
2567,08,005,ป2,9740400.00000000
2567,08,006,ป2,267200.00000000
2567,08,011,ป2,8929400.00000000
2567,08,001,ภงด1,16950891827.71000000
2567,08,001,ภงด2,4337855171.51000000
2567,08,001,ภงด3,2136983127.99000000
2567,08,002,ภงด50,11936070833.75000000
2567,08,002,ภงด51,29586371482.57000000
2567,08,002,ภงด52,652346285.29000000
2567,08,002,ภงด53,16201239044.61000000
