YEA_GOV,MON,TAX_TYPE,FORM_CODE,AMT_RCV
"2565","09","005","ภพ30",39032569545.10999979
"2565","09","005","ภพ30.2",237444.48000000
"2565","09","005","ภพ309",601222538.48000000
"2565","09","005","ภพ36",5692976191.86999994
"2565","09","006","ทป3",6787316.29999999
"2565","09","006","ป2",7400.00000000
"2565","09","006","ภธ40",2723855518.34999999
"2565","09","007","ทป3",2632097.32000000
"2565","09","007","อส10",84912173.09000000
"2565","09","007","อส10.1",5143932.00000000
"2565","09","007","อส4",318195449.23000000
"2565","09","007","อส4ก",16685388.19000000
"2565","09","007","อส4ข",297190952.22000000
"2565","09","007","อส9",64779247.00000000
"2565","09","009","รบ1",5022.00000000
"2565","09","010","รบ1",37.00000000
"2565","09","011","ป2",40205504.00000000
"2565","09","015","รบ1",9788.82000000
"2565","09","070","ภม60",84097693.32000000
"2565","10","001","ทป3",201965365.77999999
"2565","10","001","ภงด1",13145913351.05999978
"2565","10","001","ภงด2",5203740399.09999997
"2565","10","001","ภงด3",1575604972.41999888
"2565","10","001","ภงด90",128389587.98999997
"2565","10","001","ภงด91",55922664.83000000
"2565","10","001","ภงด93",64951212.43000000
"2565","10","001","ภงด94",223012877.85000000
"2565","10","002","ทป3",457763209.74999999
"2565","10","002","ป2",500000.00000000
"2565","10","002","ภงด50",722186198.86999995
"2565","10","002","ภงด51",728420373.99999999
"2565","10","002","ภงด52",7396202.39000000
"2565","10","002","ภงด53",13475286547.84999837
"2565","10","002","ภงด54",7669765559.92000001
"2565","10","002","ภงด55",43420735.86000000
"2565","10","003","ภงป73",98876.69000000
"2565","10","005","ทป3",289060709.24999999
"2565","10","005","ภพ30",34985427822.28999975
"2565","10","005","ภพ30.2",59592.40000000
"2565","10","005","ภพ309",676219986.51000000
"2565","10","005","ภพ36",3999171233.74999994
"2565","10","006","ทป3",9342860.56000000
"2565","10","006","ภธ40",2514521875.87000000
"2565","10","007","ทป3",5004362.28000000
"2565","10","007","อส10",76293834.46000000
"2565","10","007","อส10.1",4843222.00000000
"2565","10","007","อส4",361741687.32000000
"2565","10","007","อส4ก",15761036.10000000
"2565","10","007","อส4ข",264533032.61000000
"2565","10","007","อส9",25485930.00000000
"2565","10","009","รบ1",11493.00000000
"2565","10","010","รบ1",110.50000000
"2565","10","011","ป2",23708836.00000000
"2565","10","015","รบ1",7282.83000000
"2565","10","070","ทป3",2076163.94000000
"2565","10","070","ภม60",26966970.79000000
"2565","11","001","ทป3",244528289.87999994
"2565","11","001","ภงด1",13828413750.10999978
"2565","11","001","ภงด2",2830632447.04000000
"2565","11","001","ภงด3",1731637823.44999924
"2565","11","001","ภงด90",163658982.87000000
"2565","11","001","ภงด91",46968311.38000000
"2565","11","001","ภงด93",52148298.48000000
"2565","11","001","ภงด94",181123352.85000000
"2565","11","002","ทป3",472334227.38999997
"2565","11","002","ป2",700000.00000000
"2565","11","002","ภงด50",1762357178.75999994
"2565","11","002","ภงด51",8460274019.85000000
"2565","11","002","ภงด52",40780507.21000000
"2565","11","002","ภงด53",12822575628.50999876
"2565","11","002","ภงด54",5079324198.88999995
"2565","11","002","ภงด55",36406114.45000000
"2565","11","003","ทป3",4823.00000000
"2565","11","005","ทป3",362296052.11999994
"2565","11","005","ภพ30",39466454386.32999963
"2565","11","005","ภพ30.2",182443.09000000
"2565","11","005","ภพ309",648913486.80000000
"2565","11","005","ภพ36",4162432931.32999996
"2565","11","006","ทป3",8003689.93000000
"2565","11","006","ภธ40",2214645094.25999995
"2565","11","007","ทป3",1961152.12000000
"2565","11","007","อส10",80856632.23000000
"2565","11","007","อส10.1",4952837.00000000
"2565","11","007","อส4",323177362.49000000
"2565","11","007","อส4ก",16633755.00000000
"2565","11","007","อส4ข",258486544.60000000
"2565","11","007","อส9",31373836.00000000
"2565","11","009","รบ1",6720.00000000
"2565","11","010","รบ1",38.50000000
"2565","11","011","ป2",20178769.00000000
"2565","11","015","รบ1",43242.97000000
"2565","11","070","ภม60",18676794.28000000
"2565","11","999","ทป3",0.98000000
"2565","12","001","ทป3",174687143.65999997
"2565","12","001","ภงด1",14320019748.59999964
