year,Province,Amphone,district,Item,  Value ,Unit,Source
2562,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,ต.ประศุก,จำนวนเกษตรกรผู้ปลูกข้าว,652,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,ต.ทับยา,จำนวนเกษตรกรผู้ปลูกข้าว,448,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,ต.งิ้วราย,จำนวนเกษตรกรผู้ปลูกข้าว,574,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,ต.ชีน้ำร้าย,จำนวนเกษตรกรผู้ปลูกข้าว,584,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,ต.ท่างาม,จำนวนเกษตรกรผู้ปลูกข้าว,389,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,ต.น้ำตาล,จำนวนเกษตรกรผู้ปลูกข้าว,485,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,ต.ทองเอน,จำนวนเกษตรกรผู้ปลูกข้าว,841,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,ต.ห้วยชัน,จำนวนเกษตรกรผู้ปลูกข้าว,1010,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,ต.โพธิ์ชัย,จำนวนเกษตรกรผู้ปลูกข้าว,598,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2563,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,ต.บางพุทรา,จำนวนเกษตรกรผู้ปลูกข้าว,0,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2563,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,ต.บางมัญ,จำนวนเกษตรกรผู้ปลูกข้าว,337,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2563,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,ต.โพกรวม,จำนวนเกษตรกรผู้ปลูกข้าว,365,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2563,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,ต.ม่วงหมู่,จำนวนเกษตรกรผู้ปลูกข้าว,84,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2563,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,ต.หัวไผ่,จำนวนเกษตรกรผู้ปลูกข้าว,506,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
