ปี,จังหวัด,โค,กระบือ,สุกร
2564,ปัตตานี,3407,48,5999
2564,ยะลา,8921,0,34429
2564,นราธิวาส,6699,141,26581
2565,กรุงเทพมหานคร,1777,10,11910
2565,นนทบุรี,3205,0,0
2565,ปทุมธานี,38626,0,206815
2565,พระนครศรีอยุธยา,3301,6,38070
2565,อ่างทอง,424,0,64102
2565,ลพบุรี,5623,0,579694
2565,สิงห์บุรี,143,0,16204
2565,ชัยนาท,150,90,6147
2565,สระบุรี,2574,0,226689
2565,สมุทรปราการ,0,0,8320
2565,ชลบุรี,1712,98,242688
2565,ระยอง,2365,0,184558
2565,จันทบุรี,12,0,147001
2565,ตราด,0,0,35629
2565,ฉะเชิงเทรา,3305,0,646221
2565,ปราจีนบุรี,78,322,124005
2565,นครนายก,0,0,51314
2565,สระแก้ว,1647,564,147222
2565,นครราชสีมา,29373,6895,227460
2565,บุรีรัมย์,1439,138,24403
2565,ศรีสะเกษ,6738,54,80034
2565,สุรินทร์,3012,34,24010
2565,อุบลราชธานี,65967,217,162636
2565,ยโสธร,5117,0,129674
2565,ชัยภูมิ,4563,0,59031
2565,อำนาจเจริญ,3139,398,6131
2565,หนองบัวลำภู,1401,445,130401
2565,ขอนแก่น,4411,426,39091
2565,อุดรธานี,11423,1062,104055
2565,เลย,4719,3437,16117
2565,หนองคาย,4419,11,82891
2565,มหาสารคาม,8019,266,33841
2565,ร้อยเอ็ด,20783,90,58979
2565,กาฬสินธุ์,12189,511,54029
2565,นครพนม,7995,7444,50927
2565,มุกดาหาร,10513,192,19051
2565,สกลนคร,17726,1311,47975
2565,บึงกาฬ,2855,1534,21097
2565,เชียงใหม่,3337,4713,494849
2565,ลำพูน,87,0,144316
2565,ลำปาง,6948,1875,49133
2565,แพร่,932,3829,67030
2565,น่าน,3218,2605,43172
2565,พะเยา,4449,2263,18459
2565,เชียงราย,5430,9554,230956
2565,แม่ฮ่องสอน,754,348,22165
2565,อุตรดิตถ์,736,767,40588
2565,นครสวรรค์,660,43,56926
2565,อุทัยธานี,374,783,12466
2565,กำแพงเพชร,842,66,248801
2565,ตาก,2199,14,100266
