ปี,ฤดูกาล,อำเภอ,ประเภทข้าว,จำนวน,หน่วย
2565,ข้าวนาปี,อำเภอบางปะกง,ข้าวเจ้า,8102.2,ตัน
2565,ข้าวนาปี,อำเภอบางปะกง,ข้าวเหนียว,0,ตัน
2565,ข้าวนาปี,อำเภอบ้านโพธิ์,ข้าวเจ้า,16232.6,ตัน
2565,ข้าวนาปี,อำเภอบ้านโพธิ์,ข้าวเหนียว,0,ตัน
2565,ข้าวนาปี,อำเภอพนมสารคาม,ข้าวเจ้า,48055.78,ตัน
2565,ข้าวนาปี,อำเภอพนมสารคาม,ข้าวเหนียว,0,ตัน
2565,ข้าวนาปี,อำเภอราชสาส์น,ข้าวเจ้า,27296.2,ตัน
2565,ข้าวนาปี,อำเภอราชสาส์น,ข้าวเหนียว,0,ตัน
2565,ข้าวนาปี,อำเภอสนามชัยเขต,ข้าวเจ้า,188,ตัน
2565,ข้าวนาปี,อำเภอสนามชัยเขต,ข้าวเหนียว,1289.5,ตัน
2565,ข้าวนาปี,อำเภอแปลงยาว,ข้าวเจ้า,2585.6,ตัน
2565,ข้าวนาปี,อำเภอแปลงยาว,ข้าวเหนียว,0,ตัน
2565,ข้าวนาปี,อำเภอท่าตะเกียบ,ข้าวเจ้า,0,ตัน
2565,ข้าวนาปี,อำเภอท่าตะเกียบ,ข้าวเหนียว,1095.2,ตัน
2565,ข้าวนาปี,อำเภอคลองเขื่อน,ข้าวเจ้า,20098.5,ตัน
2565,ข้าวนาปี,อำเภอคลองเขื่อน,ข้าวเหนียว,0,ตัน
2565,ข้าวนาปรัง,อำเภอเมืองฉะเชิงเทรา,ข้าวเจ้า,16164.35,ตัน
2565,ข้าวนาปรัง,อำเภอเมืองฉะเชิงเทรา,ข้าวเหนียว,0,ตัน
2565,ข้าวนาปรัง,อำเภอบางคล้า,ข้าวเจ้า,9473.3,ตัน
2565,ข้าวนาปรัง,อำเภอบางคล้า,ข้าวเหนียว,0,ตัน
2565,ข้าวนาปรัง,อำเภอบางน้ำเปรี้ยว,ข้าวเจ้า,74868,ตัน
2565,ข้าวนาปรัง,อำเภอบางน้ำเปรี้ยว,ข้าวเหนียว,0,ตัน
2565,ข้าวนาปรัง,อำเภอบางปะกง,ข้าวเจ้า,6675.67,ตัน
2565,ข้าวนาปรัง,อำเภอบางปะกง,ข้าวเหนียว,0,ตัน
2565,ข้าวนาปรัง,อำเภอบ้านโพธิ์,ข้าวเจ้า,7404.4,ตัน
2565,ข้าวนาปรัง,อำเภอบ้านโพธิ์,ข้าวเหนียว,0,ตัน
2565,ข้าวนาปรัง,อำเภอพนมสารคาม,ข้าวเจ้า,17289.3,ตัน
2565,ข้าวนาปรัง,อำเภอพนมสารคาม,ข้าวเหนียว,0,ตัน
2565,ข้าวนาปรัง,อำเภอราชสาส์น,ข้าวเจ้า,17380,ตัน
2565,ข้าวนาปรัง,อำเภอราชสาส์น,ข้าวเหนียว,0,ตัน
2565,ข้าวนาปรัง,อำเภอสนามชัยเขต,ข้าวเจ้า,0,ตัน
2565,ข้าวนาปรัง,อำเภอสนามชัยเขต,ข้าวเหนียว,0,ตัน
2565,ข้าวนาปรัง,อำเภอแปลงยาว,ข้าวเจ้า,1635,ตัน
